time,ax,
02:39:30,159.5,
02:40:00,160,
02:40:30,160.5,
02:41:00,161,
02:41:30,161.5,
02:42:00,162,
02:42:30,162.5,
02:43:00,163,
02:43:30,163.5,
02:44:00,164,
02:44:30,164.5,
02:45:00,165,
02:45:30,165.5,
02:46:00,166,
02:46:30,166.5,
02:47:00,167,
02:47:30,167.5,
02:48:00,168,
02:48:30,168.5,
02:49:00,169,
02:49:30,169.5,
02:50:00,170,
02:50:30,170.5,
02:51:00,171,
02:51:30,171.5,
02:52:00,172,
02:52:30,172.5,
02:53:00,173,
02:53:30,173.5,
02:54:00,174,
02:54:30,174.5,
02:55:00,175,
02:55:30,175.5,
02:56:00,176,
02:56:30,176.5,
02:57:00,177,
02:57:30,177.5,
02:58:00,178,
02:58:30,178.5,
02:59:00,179,
02:59:30,179.5,
03:00:00,180,
03:00:30,180.5,
03:01:00,181,
03:01:30,181.5,
03:02:00,182,
03:02:30,182.5,
03:03:00,183,
03:03:30,183.5,
03:04:00,184,
03:04:30,184.5,
03:05:00,185,
03:05:30,185.5,
03:06:00,186,
03:06:30,186.5,
03:07:00,187,
03:07:30,187.5,
03:08:00,188,
03:08:30,188.5,
03:09:00,189,
03:09:30,189.5,
03:10:00,190,
03:10:30,190.5,
03:11:00,191,
03:11:30,191.5,
03:12:00,192,
03:12:30,192.5,
03:13:00,193,
03:13:30,193.5,
03:14:00,194,
03:14:30,194.5,
03:15:00,195,
03:15:30,195.5,
03:16:00,196,
03:16:30,196.5,
03:17:00,197,
03:17:30,197.5,
03:18:00,198,
03:18:30,198.5,
03:19:00,199,
03:19:30,199.5,
03:20:00,200,
03:20:30,200.5,
03:21:00,201,
03:21:30,201.5,
03:22:00,202,
03:22:30,202.5,
03:23:00,203,
03:23:30,203.5,
03:24:00,204,
03:24:30,204.5,
03:25:00,205,
03:25:30,205.5,
03:26:00,206,
03:26:30,206.5,
03:27:00,207,
03:27:30,207.5,
03:28:00,208,
03:28:30,208.5,
03:29:00,209,
03:29:30,209.5,
03:30:00,210,
03:30:30,210.5,
03:31:00,211,
03:31:30,211.5,
03:32:00,212,
03:32:30,212.5,
03:33:00,213,
03:33:30,213.5,
03:34:00,214,
03:34:30,214.5,
03:35:00,215,
03:35:30,215.5,
03:36:00,216,
03:36:30,216.5,
03:37:00,217,
03:37:30,217.5,
03:38:00,218,
03:38:30,218.5,
03:39:00,219,
03:39:30,219.5,
03:40:00,220,
03:40:30,220.5,
03:41:00,221,
03:41:30,221.5,
03:42:00,222,
03:42:30,222.5,
03:43:00,223,
03:43:30,223.5,
03:44:00,224,
03:44:30,224.5,
03:45:00,225,
03:45:30,225.5,
03:46:00,226,
03:46:30,226.5,
03:47:00,227,
03:47:30,227.5,
03:48:00,228,
03:48:30,228.5,
03:49:00,229,
03:49:30,229.5,
03:50:00,230,
03:50:30,230.5,
03:51:00,231,
03:51:30,231.5,
03:52:00,232,
03:52:30,232.5,
03:53:00,233,
03:53:30,233.5,
03:54:00,234,
03:54:30,234.5,
03:55:00,235,
03:55:30,235.5,
03:56:00,236,
03:56:30,236.5,
03:57:00,237,
03:57:30,237.5,
03:58:00,238,
03:58:30,238.5,
03:59:00,239,
03:59:30,239.5,
04:00:00,240,
04:00:30,240.5,
04:01:00,241,
04:01:30,241.5,
04:02:00,242,
04:02:30,242.5,
04:03:00,243,
04:03:30,243.5,
04:04:00,244,
04:04:30,244.5,
04:05:00,245,
04:05:30,245.5,
04:06:00,246,
04:06:30,246.5,
04:07:00,247,
04:07:30,247.5,
04:08:00,248,
04:08:30,248.5,
04:09:00,249,
04:09:30,249.5,
04:10:00,250,
04:10:30,250.5,
04:11:00,251,
04:11:30,251.5,
04:12:00,252,
04:12:30,252.5,
04:13:00,253,
04:13:30,253.5,
04:14:00,254,
04:14:30,254.5,
04:15:00,255,
04:15:30,255.5,
04:16:00,256,
04:16:30,256.5,
04:17:00,257,
04:17:30,257.5,
04:18:00,258,
04:18:30,258.5,
04:19:00,259,
04:19:30,259.5,
04:20:00,260,
04:20:30,260.5,
04:21:00,261,
04:21:30,261.5,
04:22:00,262,
04:22:30,262.5,
04:23:00,263,
04:23:30,263.5,
04:24:00,264,
04:24:30,264.5,
04:25:00,265,
04:25:30,265.5,
04:26:00,266,
04:26:30,266.5,
04:27:00,267,
04:27:30,267.5,
04:28:00,268,
04:28:30,268.5,
04:29:00,269,
04:29:30,269.5,
04:30:00,270,
04:30:30,270.5,
04:31:00,271,
04:31:30,271.5,
04:32:00,272,
04:32:30,272.5,
04:33:00,273,
04:33:30,273.5,
04:34:00,274,
04:34:30,274.5,
04:35:00,275,
04:35:30,275.5,
04:36:00,276,
04:36:30,276.5,
04:37:00,277,
04:37:30,277.5,
04:38:00,278,
04:38:30,278.5,
04:39:00,279,
